	10j	11j	12j	13j	14j	15j	16j	17j	18j	19j	1j	20j	21j	22j	23j	24j	25j	26j	27j	28j	29j	2j	30j	3j	4j	5j	6j	7j	8j	9j	C1	S1	VC1
Proteobacteria	0.46179595770040927	0.38487736548652934	0.4721860278640636	0.5316378521970376	0.4454827631752415	0.412593586664753	0.4606985930495801	0.4891943396991614	0.5749641048893037	0.6569646569646539	0.4983987051895993	0.4820743101325384	0.46153846153846156	0.5926956188101917	0.5066364332239987	0.5318628844294853	0.4588604907871089	0.5635538119061851	0.6307195719497579	0.5419469667260761	0.5344827586206894	0.48665583662101936	0.5833333333334457	0.47808339002822997	0.717641748699524	0.6402575667319401	0.726856035091692	0.7105653599874292	0.47109826589595555	0.6846153846153836	0.46320469559837324	0.47090282622023844	0.389151021216256
Bacteroidota	0.07022037379859546	0.4190172759482331	0.2303297584444247	0.2452641205417374	0.30923920221897544	0.3083768893911387	0.24286538546891082	0.2802173296030565	0.20751152421975644	0.0893970893970894	0.286304624814917	0.2664952560295494	0.07692307692307693	0.0712932543584092	0.17290833200942435	0.09308737422545758	0.08870397101695478	0.07606180159132382	0.0965002835250147	0.07746840025339886	0.08620689655172414	0.2615198164049381	0.06862685105861918	0.1034600058314684	0.05835446846924261	0.15300825461663337	0.031263861735859176	0.08538966109636136	0.11994219653179186	0.11043956043956028	0.2236019124012906	0.20755913501173656	0.08209324578480065
Actinobacteriota	0.133187939035834	0.09618500920101943	0.22737295780294992	0.12010625789313353	0.13621054021925905	0.16061590620144303	0.19528649416359783	0.1261809187852254	0.08263432328270359	0.11434511434511435	0.10041668101518733	0.16850148475410953	0.0	0.1729694731541136	0.08363783416860208	0.1283326701154015	0.25289405904162765	0.15282889951731896	0.12479462611047182	0.11682102024193447	0.06896551724137931	0.1411000232072393	0.11273609921265788	0.11964233647584596	0.087843356402874	0.08577993362267305	0.08234076459281595	0.05930813681086912	0.12138728323699419	0.07032967032967032	0.12010282087565934	0.1835669139873634	0.09050714356419101
Acidobacteriota	0.08056703776025226	0.029525666730753453	0.02084795028565707	0.032138657840874475	0.031006472064456534	0.035774826952959755	0.030802006124894442	0.032883266431496645	0.03287236454318742	0.0395010395010395	0.018767863907159437	0.021728108930252704	0.15384615384615385	0.05664132754610222	0.07367235228700383	0.08049570803251775	0.0688064306133429	0.07573119393445053	0.04404088576122794	0.09558357718181257	0.12068965517241381	0.009592326139088765	0.07365479541467485	0.028104448116110882	0.01066070584189488	0.012424474512807378	0.010251523764149192	0.018350773075121056	0.060693641618497086	0.01703296703296703	0.06963016302300465	0.01767180332720321	0.0930148150592255
Verrucomicrobiota	0.023584307559658322	0.01897882391716338	0.00882028665931642	0.01367417149327177	0.016774534407607997	0.021825116541884414	0.013847587767964142	0.016745732473746083	0.028867225874707147	0.006237006237006237	0.004889975550122245	0.010972695009777631	0.07692307692307693	0.021006690487038508	0.062103727667933435	0.032033426183844	0.029152868585661344	0.021842145864098165	0.015659304709423283	0.048779752028719106	0.0	0.003506871921817382	0.04968792069514199	0.009233161628924059	0.003976271332158362	0.0043116897852664956	0.00354860437989782	0.005153834140246764	0.005780346820809248	0.004395604395604396	0.025521012132528376	0.037246073519775214	0.04979047744745478
Firmicutes	0.031116070296452428	0.001126095196242687	0.0014533426881828205	0.0011758045551539433	0.0013538502179368647	0.001518576070066393	0.0016865651768674275	0.001135303896525159	0.0015869417365676716	0.002079002079002079	0.014015634147181452	0.0011588324762801477	0.0	0.0026138461907388327	0.0034373691127832524	0.017622647944971818	0.0014434915513288618	0.006788477221132426	0.0029515681114325966	0.000422335515400163	0.0	0.04669812537067067	0.006629135560722842	0.13494994654485937	0.06918712117955704	0.035713272629279674	0.08868225204948559	0.057902545681711014	0.06358381502890173	0.04175824175824175	0.00173321834364612	0.0010992030777686181	0.025142706305474133
Planctomycetota	0.0528491365100301	0.01474910049712986	0.008569710333767662	0.015851587336149445	0.018392550521727676	0.015856759429297908	0.01588921929785628	0.013299274216437602	0.01953449709060679	0.016632016632016633	0.016873859292675465	0.01358006808140795	0.0	0.024987410373851743	0.028654371091437262	0.027457222443294772	0.032209674223769406	0.02854246104339768	0.02857059772889175	0.035913602220278416	0.0	0.010520615765452206	0.029056011096153474	0.02786147017850756	0.010359798822163993	0.012509573653306051	0.01168082275049691	0.012416054974230845	0.03323699421965317	0.011538461538461537	0.009595498656127794	0.007948083793096151	0.0592272412313993
Chloroflexi	0.061420637537088596	0.006042462028619314	0.006565099729377576	0.009145146540086217	0.00795799762250694	0.009888402316711386	0.007900226354800055	0.009244617443133455	0.011486435426585085	0.002079002079002079	0.023795585247426018	0.009162019265589903	0.0	0.002302103067072733	0.005098282759716339	0.004661474617702237	0.0022076929608559064	0.003394238610566221	0.0020646437035636905	0.0051132764185948375	0.017241379310344827	0.01199040767386096	0.011340921143882762	0.0421161758512337	0.016721832953617292	0.02229597481065434	0.01936946557360901	0.015266281430579435	0.04190751445086704	0.013186813186813183	0.0033827063325267263	0.040078635297102046	0.07476820536509605
Patescibacteria	0.019374635457611714	0.007360817380318065	0.003457953292572921	0.005182249706048858	0.006637168141592925	0.006709987286339872	0.005503528471883184	0.006771276811417924	0.004231844630847124	0.002079002079002079	0.011122972554151345	0.004273194756283045	0.07692307692307693	0.01249370518692598	0.0166235791966956	0.016258313910522407	0.014548130536922263	0.016905071521456407	0.013638280239033445	0.02052852273070086	0.017241379310344827	0.004564090662953513	0.016164892098070437	0.013736352739171225	0.0038258178222929135	0.008736845091197895	0.005454336361694801	0.006832734655630179	0.020231213872832367	0.00824175824175824	0.05886243940015569	0.01595958314837131	0.018444583759527577
Bacteria_unclassified	0.01194431060279453	0.002059930237029304	0.0031071464368046544	0.0027435439620258637	0.004061550653810588	0.0050501483260347434	0.0041276463539123886	0.003689737663706766	0.002153706642484697	0.04365904365904366	0.007438272667791579	0.00416455421163179	0.07692307692307693	0.003381213879763079	0.003668452750617416	0.004462509237678361	0.005038068551696821	0.0041436159661457726	0.003489538653910451	0.003831186461130062	0.08620689655172414	0.009231324617725243	0.004059070697181095	0.012683448342890341	0.01117654644714789	0.010665758942501297	0.006850777900080531	0.011088552241136983	0.03323699421965317	0.01538461538461538	0.002160243152950233	0.004058595979453369	0.03659220642095936
