10j,1j,2j,3j,4j,5j,6j,7j,8j,9j
0.026247051961555082,0.21725954750507814,0.22162914829426728,0.1700683577931148,0.31315823410566773,0.38079028735143383,0.24289868405920603,0.41312665937842036,0.027456647398843924,0.28681318681318674
0.0005832678213678899,0.00013774579014428872,2.5785822954539595e-05,0.000388764700165225,6.44800756566221e-05,0.00011346552066490796,6.571489592403358e-05,0.00011713259409651726,0.001445086705202312,0.0
0.0005071894098851216,0.00010330934260821653,0.0,0.00011338970421485728,2.1493358552207367e-05,0.0,3.285744796201679e-05,0.0,0.0,0.0
0.04600207947658067,0.02079961431178764,0.01266083907067897,0.031068778954870827,0.010682199200447082,0.019402604033699238,0.01437513348338231,0.0209667343432766,0.03323699421965318,0.03131868131868133
0.0022316334034945345,0.000585419608113227,0.0015987210231814548,0.001830433796611267,0.0016334952499677594,0.00039712932232717783,0.0006900064072023526,0.001913165703576449,0.004335260115606936,0.001098901098901099
0.02241777191692247,0.023347911429456986,0.015677780356360093,0.023455470243301836,0.014701457249709877,0.015317845289762554,0.014062987727743123,0.018702170857410598,0.041907514450867045,0.017032967032967035
0.0022062739330002785,0.00013774579014428872,0.00010314329181815838,0.001312080863057634,0.08672570175815716,0.00017019828099736195,0.05866697333618082,0.003240668436670311,0.0,0.0
0.014733852357162744,0.005888632528668338,0.005079807122044305,0.0066089999028088086,0.003804324463740707,0.005332879471250662,0.002907884144638491,0.007379353428080593,0.0072254335260115606,0.006043956043956043
0.002155554992011767,0.000585419608113227,0.0009282896263634254,0.00699776460297405,0.0026221897433692984,0.0007658922644881287,0.003581461827859831,0.0021864750898016555,0.0,0.0016483516483516484
0.0048436588644029145,0.0010330934260821653,0.0010056470952270443,0.0021544043800822885,0.0014615483815500997,0.0009928233058179446,0.0010842957827465536,0.0012103701389973454,0.008670520231213872,0.001098901098901099
0.002054117110034742,0.045869348118047965,0.06268533560248554,0.011484757184047676,0.11318402613592546,0.03866337616656737,0.23969508288290836,0.011205684835233487,0.005780346820809248,0.09725274725274724
0.018816727106738092,0.0082991838561934,0.005363451174544248,0.01093400719214691,0.0046640588058289925,0.006240603636569925,0.006686490660270435,0.005856629704825866,0.015895953757225433,0.010439560439560439
0.0006593462328506582,6.887289507214436e-05,0.00036100152136355433,9.719117504130624e-05,0.0002794136611786958,0.00017019828099736195,3.285744796201679e-05,0.00015617679212868969,0.002890173410404624,0.0
0.0013947708771840845,0.19277523330693164,0.11497898455429198,0.002656558784462371,0.007995529381421142,0.05900207074575212,0.0028421692487144534,0.006012806496954553,0.02023121387283237,0.017582417582417582
0.017143002054117167,0.008815730569234495,0.01188726438204277,0.009978293970907416,0.005308859562395211,0.009304172694522442,0.004928617194302527,0.004880524754021554,0.013005780346820808,0.013186813186813185
0.034488879872188336,0.05492613382003492,0.09195224465588782,0.041727411151067824,0.05061685939044818,0.04496071256346975,0.04056251950910949,0.026471966265812902,0.06502890173410404,0.025274725274725275
0.0024345091674485837,0.0012397121112985982,0.0009798612722725045,0.0004535588168594292,0.0004298671710441474,0.0006807931239894477,0.0003778606515631931,0.001561767921286897,0.004335260115606936,0.0005494505494505495
0.01194431060279453,0.007438272667791579,0.009231324617725243,0.012683448342890341,0.01117654644714789,0.010665758942501297,0.006850777900080531,0.011088552241136983,0.03323699421965317,0.01538461538461538
0.0009129409377932188,0.00013774579014428872,0.0012119336788633606,0.0022191984967764936,0.0009672011348493317,0.0005673276033245398,0.0009857234388605037,0.0008589723567077931,0.0,0.0
