21j	22j	23j	24j	25j	26j	27j	28j	29j	30j
0.0	0.0001678616819740534	0.00922890278600211	0.060485475527258484	0.001132150236336362	0.004540345154393775	0.09261817177253995	0.0004977525717216205	0.0	0.004487414841104714
0.0	0.00033572336394810674	0.0013287309175464687	0.00019896538002387584	0.00011321502363363618	0.0	0.0	0.0005731696280430783	0.0	0.0007852975971933257
0.0	0.000191841922256061	0.0012420745533586553	0.0003695071343300551	8.491126772522713e-05	0.00011020255229111106	1.4539744391293602e-05	0.0007089203294217021	0.034482758620689655	0.0016521845551340114
0.0	0.025634876861466035	0.028943225638729825	0.02640554829174006	0.028586793467493144	0.020629917788895964	0.022492984573331112	0.03172041388880521	0.034482758620689655	0.030147268796149235
0.0	0.025514975660056068	0.022891722872947374	0.017281564436359496	0.02575641787665224	0.02089440391439465	0.024746644953981687	0.013921988596941076	0.0	0.013054297719577359
0.07692307692307693	0.021342413850986647	0.027368968355984635	0.01588880677619235	0.019472984064985436	0.016243856207709743	0.019992148538028585	0.014872243506591382	0.017241379310344827	0.01898992371394786
0.0	0.15575166063163776	0.002339721833070957	0.008157580580978905	0.014972686875548388	0.14246985960195	0.11237768440030797	0.09728800265467964	0.034482758620689655	0.011238934442948625
0.0	0.04143785520730952	0.03843209751729554	0.03564322664999185	0.04092723104355898	0.042846752330784645	0.04577111534379184	0.03086065944674065	0.0	0.03896911842695756
0.0	0.051173832761804275	0.008665636418781321	0.022340969814109487	0.03744586906682517	0.03369994049062178	0.023568925658286922	0.015234245376934448	0.0	0.011667278586872271
0.0	0.03421980288242499	0.038330998425742994	0.04505144676254934	0.03523817610596895	0.03892354146922077	0.026825828401936577	0.04807083169929732	0.034482758620689655	0.04516990984375678
0.0	7.194072084602288e-05	7.22136368231777e-05	0.004036154851912911	5.660751181681809e-05	0.0007934583764959997	1.4539744391293602e-05	0.0	0.0	4.0794680373679274e-05
0.0	0.030838589002661607	0.032842762027181484	0.02771303507475407	0.03620050380685476	0.030592228516012357	0.02852697849571792	0.03588343539774982	0.06896551724137931	0.03392077673071472
0.0	0.022517445624805118	0.050275133956296396	0.0262065829117162	0.03116243525515837	0.02232703709417908	0.037614318740276466	0.028205979064225197	0.017241379310344827	0.021009260392444853
0.0	0.0006714467278962135	0.02056644376724104	0.007333295435165712	0.00022643004726727236	0.0010579445019946662	0.010468615961731403	0.0026094301487224352	0.0	0.00224370742055236
0.0	0.027865039207692715	0.01676800647034198	0.02364845659712348	0.031388865302425635	0.03200282118533871	0.023874260290503966	0.025762466439410055	0.034482758620689655	0.02095826704197792
0.0	0.00035970360423011436	0.001993096376319704	0.010459894264112318	0.004358778409895001	0.0018514028784906659	0.0014975936723032413	0.0001508341126429153	0.0	0.005650063231754571
0.0	0.02904007098151122	0.03249613657043	0.025325450514467624	0.030822790184257452	0.024310683035419098	0.03214737484915013	0.028688648224682502	0.0	0.027791376004569015
0.07692307692307693	0.003381213879763079	0.003668452750617416	0.004462509237678361	0.005038068551696821	0.0041436159661457726	0.003489538653910451	0.003831186461130062	0.08620689655172414	0.004059070697181095
0.0	0.03222944293901819	0.005416022761738324	0.016599397419134763	0.021454246978574065	0.02195234841638927	0.01939601901798557	0.008552294186853267	0.0	0.007404234487822766
0.0	2.3980240282007626e-05	0.008174583688383712	0.007674378943778073	0.0	0.0006391748032884442	7.269872195646801e-05	0.0	0.0	0.0013870191327050956
0.07692307692307693	0.018392844296299816	0.02344054651280352	0.03095332840657153	0.024822393931674736	0.028498380022481312	0.014612443113250089	0.0271048900419319	0.0	0.018989923713947723
0.0	0.019040310783914025	0.025332543797570786	0.021744073674037852	0.02069004556904701	0.02032135064248087	0.016837024005117954	0.028477480466982445	0.017241379310344827	0.027719985313915153
0.07692307692307693	0.001175031773818374	0.0019353254668611618	0.002018077425956455	0.001698225354504543	0.0015869167529919993	0.0008869244078689095	0.003921686928715799	0.0	0.003273773099987763
0.0	0.0061149612719119525	0.005618220944843205	0.006196350406457872	0.008264696725255462	0.005289722509973305	0.004885354115474619	0.006455700021116804	0.034482758620689655	0.007210459756047702
0.0	4.796048056401525e-05	0.0007943500050549548	5.68472514353931e-05	8.491126772522713e-05	0.0	1.4539744391293602e-05	0.0001960843464357899	0.0	0.0004589401542038918
0.0	0.006426704395578051	0.006788081861378688	0.007816497072366597	0.008264696725255457	0.006523991095633725	0.005757738778952228	0.008265709372831768	0.05172413793103448	0.007649002570064755
0.0	0.0	0.0011120900070769365	0.005855266897845509	8.491126772522713e-05	0.0004848912300808887	0.00955261206507993	4.5250233792874595e-05	0.034482758620689655	0.0004283441439236326
0.0	0.027385434402052704	0.00847788096304106	0.023847421977147402	0.01398205541875407	0.03191465914350577	0.018290998444247343	0.010588554707532654	0.017241379310344827	0.006833108962591278
0.0	0.005539435505143762	0.008651193691416684	0.0090387129782275	0.007783532874812487	0.0067223556897577745	0.004798115649126887	0.011463392560861554	0.0	0.011228735772855212
0.0	0.0	0.0006210372766793282	0.0010232505258370758	0.0	0.00013224306274933328	0.0	0.0	0.0	0.0015196018439195531
0.0	0.014675907052588678	0.0090267046028972	0.011937922801432507	0.014208485466021364	0.013400630358599019	0.009421754365558315	0.012051645600168828	0.0	0.010198670093419734
0.0	0.002158221625380688	0.002859660018197833	0.003979307600477513	0.002179389204947499	0.0026448612549866655	0.004376463061779347	0.0023228453347008977	0.034482758620689655	0.0030086076775588527
0.07692307692307693	0.0077216373708064575	0.010109909155244868	0.008214427832414299	0.008491126772522718	0.009345176434286204	0.006252090088256246	0.01208181242269748	0.0	0.009270591114918597
0.0	0.013908539363564424	0.005892632764771297	0.006452163037917123	0.00990631456794317	0.012100240241563975	0.00886924407868913	0.0027300974388367685	0.0	0.0019479459878431866
0.0	0.013117191434258171	0.008882277329250853	0.008328122335285083	0.0137556253714868	0.012276564325229763	0.03079517862075974	0.008401460074210365	0.0	0.004048872027087664
0.0	0.00014388144169204576	0.0003321827293866173	0.0002273890057415724	0.00031134131499249945	0.00019836459412399992	0.00015993718830422963	0.0003469184590787053	0.0	0.00033655611308285407
0.0	0.005251672621759672	0.011741937347448685	0.006281621283610944	0.009198720670232943	0.007648057129003105	0.0069499978190383374	0.007059036471688439	0.0	0.005884632643903227
0.0	0.00424450252991535	0.00971995551639971	0.006196350406457851	0.005434321134414538	0.005267681999515102	0.003605856609040812	0.011780144197411668	0.05172413793103448	0.010004895361644813
0.07692307692307693	0.002853648593558908	0.016825777379800476	0.004661474617702239	0.005490928646231357	0.004959114853099994	0.0017883885601291136	0.011071223867989952	0.0	0.0120038346999551
0.07692307692307693	0.0	0.0008665636418781323	0.0	0.0	0.0	5.8158977565174406e-05	1.5083411264291532e-05	0.0	0.11119610002855507
0.0	0.005731277427399824	0.008651193691416684	0.0048888636234438124	0.004896549772154766	0.004253818518436885	0.004725416927170417	0.0074210383420314375	0.05172413793103448	0.006741320931750492
0.0	0.00980791827534112	0.012420745533586559	0.009379796486839856	0.009113809402507713	0.006766436710674216	0.00647018625412565	0.013559986726598071	0.017241379310344827	0.009933504670990892
0.07692307692307693	0.0022781228267907266	0.002989644564479547	0.003979307600477513	0.0035379694885511377	0.003835048819730665	0.002035564214781106	0.004344022444115977	0.017241379310344827	0.0032125810794272538
0.0	0.0012949329752284119	0.010528748248819306	0.006850093797964869	0.013076335229684979	0.0017412003261995548	0.007836922226907251	0.011584059850975895	0.0	0.007424631828009627
0.0	0.005923119349655884	0.009070032784991114	0.010033539878346879	0.007075938977102262	0.006766436710674215	0.004667257949605244	0.008974629702253442	0.0	0.009076816383143624
0.0	0.006138941512193954	0.012391860078857286	0.008299698709567387	0.010500693442019756	0.008816204183288882	0.005219768236474401	0.015038161030498636	0.0	0.013900787337331199
0.0	0.010047720678161195	0.006369242767804271	0.008157580580978908	0.006396648835300446	0.009521500517951989	0.006004914433604255	0.006244532263416696	0.0	0.005211520417737525
0.07692307692307693	0.0019423994628426178	0.0023397218330709563	0.002188619180262634	0.0018963516458634067	0.002600780234070221	0.0018901667708681685	0.0044646897342302955	0.0	0.004732182923346789
0.0	0.007194072084602289	0.004823870939788268	0.006480586663634819	0.008519430528431125	0.00925701439245332	0.008345813280602547	0.0037256025822800095	0.0	0.0027434422551299324
0.0	0.0030454905158149716	0.00558933549011394	0.004604627366266846	0.004132348362627728	0.003217914526900443	0.0028934091338674176	0.003333433889408438	0.0	0.0032125810794272503
0.0	0.005563415745425775	0.0036973382053466872	0.004320391109089877	0.0043587784098950005	0.004870952811267091	0.004114747662736067	0.002353012157229477	0.0	0.002692448904662839
0.0	0.0	5.777090945854215e-05	0.0001136945028707862	0.0	0.0	0.0	4.5250233792874595e-05	0.0	3.0596010280259455e-05
0.0	0.009640056593367068	0.0075102182296104755	0.007958615200955034	0.011236591095638394	0.010050472768949312	0.011384619858382922	0.011870644664997394	0.0	0.004854566964467818
