	Proteobacteria	Bacteroidota	Actinobacteriota	Acidobacteriota	Verrucomicrobiota	Firmicutes	Planctomycetota	Chloroflexi	Patescibacteria	Bacteria_unclassified	Myxococcota	Gemmatimonadota	Dependentiae	Bdellovibrionota	Armatimonadota	Abditibacteriota	Cyanobacteria	WPS-2	Desulfobacterota	NB1-j	Fibrobacterota	Nitrospirota	Sumerlaeota	Halobacterota	MBNT15	Elusimicrobiota	Deinococcota	Hydrogenedentes	WS2	Spirochaetota	RCP2-54	Nanoarchaeota	Zixibacteria	Latescibacterota	Halanaerobiaeota	FCPU426	Crenarchaeota	SAR324_clade(Marine_group_B)	Methylomirabilota	Calditrichota	Dadabacteria	Margulisbacteria	Thermoplasmatota	WS4	Caldatribacteriota	Caldisericota	Euryarchaeota	Entotheonellaeota	Synergistota	Fusobacteriota
1j	0.4983987051895993	0.286304624814917	0.10041668101518733	0.018767863907159437	0.004889975550122245	0.014015634147181452	0.016873859292675465	0.023795585247426018	0.011122972554151345	0.007438272667791579	0.0036158269912875754	0.003581390543751504	0.0007576018457935882	0.004648920417369739	0.0011019663211543095	3.443644753607218e-05	0.0004476738179689383	0.0001721822376803609	0.00037880092289679397	0.0007920382933296602	3.443644753607218e-05	0.0001721822376803609	0.00013774579014428872	0.00037880092289679397	0.0005165467130410827	3.443644753607218e-05	0.00037880092289679397	0.0002066186852164331	3.443644753607218e-05	3.443644753607218e-05	6.887289507214436e-05	3.443644753607218e-05	3.443644753607218e-05	0.00024105513275250525	0.0	0.0	6.887289507214436e-05	0.0	6.887289507214436e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20j	0.4820743101325384	0.2664952560295494	0.16850148475410953	0.021728108930252704	0.010972695009777631	0.0011588324762801477	0.01358006808140795	0.009162019265589903	0.004273194756283045	0.00416455421163179	0.00593901644093576	0.004418048815818065	0.00028970811907003694	0.000869124357210111	0.0014123270804664299	0.0031143622800028975	0.0013761135655826753	0.00021728108930252772	0.00010864054465126386	0.0	0.0	0.0	0.00010864054465126386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.621351488375462e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21j	0.46153846153846156	0.07692307692307693	0.0	0.15384615384615385	0.07692307692307693	0.0	0.0	0.0	0.07692307692307693	0.07692307692307693	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22j	0.5926956188101917	0.0712932543584092	0.1729694731541136	0.05664132754610222	0.021006690487038508	0.0026138461907388327	0.024987410373851743	0.002302103067072733	0.01249370518692598	0.003381213879763079	0.008992590105752863	0.003141411476943001	0.01407640104553848	0.004748087575837513	0.0026857869115848544	0.002206182105944702	0.002302103067072733	0.0012229922543823893	0.0	0.0	7.194072084602288e-05	0.0	0.00011990120141003813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.796048056401525e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23j	0.5066364332239987	0.17290833200942435	0.08363783416860208	0.07367235228700383	0.062103727667933435	0.0034373691127832524	0.028654371091437262	0.005098282759716339	0.0166235791966956	0.003668452750617416	0.012117448258929206	0.004000635480004043	0.01114978552549863	0.005416022761738321	0.0032496136570429944	0.0023108363783416854	0.002281950923612413	0.001747570011120899	8.665636418781324e-05	0.00014442727364635536	0.0006210372766793282	2.8885454729271075e-05	8.665636418781324e-05	0.0	1.4442727364635538e-05	0.0001444272736463554	2.8885454729271075e-05	0.0	0.0	4.332818209390661e-05	1.4442727364635538e-05	0.0	0.0	0.0	1.4442727364635538e-05	2.8885454729271075e-05	0.0	2.8885454729271075e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24j	0.5318628844294853	0.09308737422545758	0.1283326701154015	0.08049570803251775	0.032033426183844	0.017622647944971818	0.027457222443294772	0.004661474617702237	0.016258313910522407	0.004462509237678361	0.010033539878346862	0.005343641634926956	0.03112387016087768	0.004945710874879206	0.00312659882894662	0.003012904326075834	0.0028139389460519566	0.0025581263145926887	0.0	8.527087715308965e-05	0.00019896538002387584	0.0	0.00014211812858848274	0.00014211812858848274	2.842362571769655e-05	0.0	0.0	0.0	5.68472514353931e-05	0.0	5.68472514353931e-05	0.0	0.0	0.0	5.68472514353931e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25j	0.4588604907871089	0.08870397101695478	0.25289405904162765	0.0688064306133429	0.029152868585661344	0.0014434915513288618	0.032209674223769406	0.0022076929608559064	0.014548130536922263	0.005038068551696821	0.00840621550479749	0.003792703291726814	0.015255724434632481	0.005094676063513633	0.0017831366222297704	0.005321106110780902	0.0035945770003679507	0.0021793892049474972	0.0	0.0	0.000622682629984999	0.0	0.0	0.0	0.0	8.491126772522713e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26j	0.5635538119061851	0.07606180159132382	0.15282889951731896	0.07573119393445053	0.021842145864098165	0.006788477221132426	0.02854246104339768	0.003394238610566221	0.016905071521456407	0.0041436159661457726	0.007427652024420875	0.0051133984263075465	0.02085032289347818	0.005311763020431544	0.002799144828194221	0.0022481320667386657	0.0037909677988142206	0.0019395649203235547	0.0	2.2040510458222213e-05	0.00041876969870622205	0.0	4.4081020916444426e-05	4.4081020916444426e-05	6.612153137466664e-05	4.4081020916444426e-05	2.2040510458222213e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4081020916444426e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2040510458222213e-05
27j	0.6307195719497579	0.0965002835250147	0.12479462611047182	0.04404088576122794	0.015659304709423283	0.0029515681114325966	0.02857059772889175	0.0020646437035636905	0.013638280239033445	0.003489538653910451	0.00844759149134161	0.003329601465606231	0.00953807232068864	0.003518618142693048	0.003547697631475637	0.0038675720080840956	0.003823952774910213	0.0009887026186079645	2.9079488782587203e-05	2.9079488782587203e-05	0.0003489538653910464	0.0	2.9079488782587203e-05	0.0	0.0	1.4539744391293602e-05	1.4539744391293602e-05	0.0	0.0	1.4539744391293602e-05	0.0	0.0	0.0	0.0	1.4539744391293602e-05	0.0	0.0	0.0	1.4539744391293602e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28j	0.5419469667260761	0.07746840025339886	0.11682102024193447	0.09558357718181257	0.048779752028719106	0.000422335515400163	0.035913602220278416	0.0051132764185948375	0.02052852273070086	0.003831186461130062	0.010256719659718194	0.006681951190081152	0.015792331593713203	0.004283688799058799	0.006802618480195485	0.002428429213550938	0.0038462698723943436	0.0026999306163081856	0.0	0.0	0.00039216869287157986	0.0	0.00021116775770008142	0.0	0.0	0.00016591752390720683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0166822528583065e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
